scenario,label,k,batch_size,latency_s,output_tok_s_per_gpu,speedup_vs_baseline,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,output_json
PARD short ISL=1000 OSL=512,baseline,0,8,4.198755783960223,243.88177181245197,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_vllm_pard_baseline_isl1000_osl512_bs1-32_mbt64000_v0202_cuda_graph_no_custom_ar_20260604_182302/breakdown.json
PARD short ISL=1000 OSL=512,baseline,0,16,4.442619143053889,460.98932500259065,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_vllm_pard_baseline_isl1000_osl512_bs1-32_mbt64000_v0202_cuda_graph_no_custom_ar_20260604_182302/breakdown.json
PARD short ISL=1000 OSL=512,baseline,0,32,5.287215078249574,774.6989557602891,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_vllm_pard_baseline_isl1000_osl512_bs1-32_mbt64000_v0202_cuda_graph_no_custom_ar_20260604_182302/breakdown.json
PARD short ISL=1000 OSL=512,PARD K=5,5,1,2.7572348159737885,46.423322111865,1.3341521514596884,95.50561797752809,5.775280898876405,4.775280898876405,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_vllm_pard_pard_k5_isl1000_osl512_bs1-32_mbt64000_v0202_cuda_graph_no_custom_ar_20260604_182302/breakdown.json
PARD short ISL=1000 OSL=512,PARD K=5,5,2,2.793952487874776,91.62646863573788,1.3932165581087608,95.50561797752809,5.775280898876405,4.775280898876405,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_vllm_pard_pard_k5_isl1000_osl512_bs1-32_mbt64000_v0202_cuda_graph_no_custom_ar_20260604_182302/breakdown.json
PARD short ISL=1000 OSL=512,PARD K=5,5,4,2.7976932893507183,183.00790939053354,1.4402318042315252,95.50561797752809,5.775280898876405,4.775280898876405,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_vllm_pard_pard_k5_isl1000_osl512_bs1-32_mbt64000_v0202_cuda_graph_no_custom_ar_20260604_182302/breakdown.json
PARD short ISL=1000 OSL=512,PARD K=5,5,8,2.855384584981948,358.6206934735812,1.4704694443066653,95.50561797752809,5.775280898876405,4.775280898876405,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_vllm_pard_pard_k5_isl1000_osl512_bs1-32_mbt64000_v0202_cuda_graph_no_custom_ar_20260604_182302/breakdown.json
PARD short ISL=1000 OSL=512,PARD K=5,5,16,2.9606433301232755,691.741547913752,1.500558712308283,95.50561797752809,5.775280898876405,4.775280898876405,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_vllm_pard_pard_k5_isl1000_osl512_bs1-32_mbt64000_v0202_cuda_graph_no_custom_ar_20260604_182302/breakdown.json
PARD short ISL=1000 OSL=512,PARD K=5,5,32,3.0980587848462164,1322.1182309500043,1.7066219350360143,95.50561797752809,5.775280898876405,4.775280898876405,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_vllm_pard_pard_k5_isl1000_osl512_bs1-32_mbt64000_v0202_cuda_graph_no_custom_ar_20260604_182302/breakdown.json
PARD short ISL=1000 OSL=512,PARD K=12,12,1,1.269264463800937,100.84580767091788,2.8981909339801,90.69767441860465,11.883720930232558,10.883720930232558,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_vllm_pard_pard_k12_isl1000_osl512_bs1-32_mbt64000_v0202_cuda_graph_no_custom_ar_20260604_182302/breakdown.json
PARD short ISL=1000 OSL=512,PARD K=12,12,2,1.4543809019960463,176.01991311124624,2.6764521339175884,90.69767441860465,11.883720930232558,10.883720930232558,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_vllm_pard_pard_k12_isl1000_osl512_bs1-32_mbt64000_v0202_cuda_graph_no_custom_ar_20260604_182302/breakdown.json
