domain,dataset,model,source,batch_size,method,measurement,tok_s_per_gpu,baseline_tok_s_per_gpu,speedup_vs_baseline,acceptance_pct,mean_acceptance_length,job_id,state,final_rows,note
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,4,PARD-2 K11,final_breakdown_no_baseline,7.0650000314002295,,,1.4211137123558053,1.1563225083591386,,,1,verified_osl32k_qwen235b_pard2_k11
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,4,Eagle-3 K3,final_spec_vs_live_baseline,18.653783441530067,8.25,2.261064659579402,55.276358129850465,2.658290743895514,,,,provisional: final spec breakdown / live baseline telemetry
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,4,Eagle-3 K9,final_breakdown_no_baseline,19.448340400032105,,,22.15395313542912,2.9938557821886205,,,1,verified_osl32k_qwen235b_eagle3_k9
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,4,Eagle-3 K11,final_breakdown_no_baseline,18.09688436284481,,,16.070050562638933,2.7677055618902826,,,1,verified_osl32k_qwen235b_eagle3_k11
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,8,Suffix K8,final_breakdown_no_baseline,66.11775389906161,,,81.38709099161292,5.426402256886824,,,1,verified_osl32k_qwen235b_suffix_k8
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,8,Suffix K16,final_breakdown_no_baseline,65.69603260123576,,,80.05159133846824,6.347912621359224,,,1,verified_osl32k_qwen235b_suffix_k16
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,8,Suffix K32,final_spec_vs_live_baseline,67.05400838149801,16.425,4.082435822313425,80.05159133846824,6.347912621359224,,,,provisional: final spec breakdown / live baseline telemetry
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,8,PARD K5,live_only,9.95,16.425,0.6057838660578386,13.0,1.65,2109535,RUNNING,0,live telemetry only: no final breakdown.json yet
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,8,PARD K9,final_breakdown_no_baseline,16.381541215876187,,,11.66989947023735,2.0502909523213617,,,1,verified_osl32k_qwen235b_pard_k9
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,8,PARD K11,final_breakdown_no_baseline,17.166940831741353,,,12.483159725222679,2.3731475697744946,,,1,verified_osl32k_qwen235b_pard_k11
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,8,PARD-2 K1,live_only,17.65,16.425,1.0745814307458141,33.4,1.33,2109536,RUNNING,0,live telemetry only: no final breakdown.json yet
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,8,PARD-2 K9,final_breakdown_no_baseline,13.847933543463311,,,1.8944535733847727,1.1705008216046295,,,1,verified_osl32k_qwen235b_pard2_k9
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,8,PARD-2 K11,final_breakdown_no_baseline,13.412162282341354,,,2.1909974056469785,1.2410097146211676,,,1,verified_osl32k_qwen235b_pard2_k11
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,8,Eagle-3 K3,final_spec_vs_live_baseline,36.45700617192063,16.425,2.219604637559856,62.34210363038471,2.8702631089115416,,,,provisional: final spec breakdown / live baseline telemetry
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,8,Eagle-3 K9,final_breakdown_no_baseline,30.967462255351656,,,18.934494152921477,2.704104473762933,,,1,verified_osl32k_qwen235b_eagle3_k9
