source,job_id,model,method,shape,batch_size,output_tok_s_per_gpu,speedup_vs_final_baseline,acceptance_pct,mean_acceptance_length,latest_generation_tok_s,matching_live_baseline_tok_s,provisional_live_speedup,live_acceptance_pct,live_mean_acceptance_length,label
live_log,2102349,Qwen/Qwen3-8B,PARD-2 draft K5,n1 ISL4096/OSL131072 BS1,1,,,,,10.0,37.9,0.2638522427440633,1.1,1.05,full_osl128k_qwen8_pard2_k5
live_log,2102307,Qwen/Qwen3-8B,PARD-2 draft K5,n1 ISL4096/OSL131072 BS1,1,,,,,13.5,37.9,0.3562005277044855,0.0,1.0,verified_osl128k_qwen8_pard2_k5
live_log,2102361,Qwen/Qwen3-8B,Eagle-3 K3,n1 ISL4096/OSL131072 BS1,1,,,,,18.3,37.9,0.4828496042216359,100.0,4.0,full_osl128k_qwen8_eagle3_k3
live_log,2103214,Qwen/Qwen3-8B,PARD-2 draft K5,n1 ISL4096/OSL98304 BS1,1,,,,,6.4,36.9,0.1734417344173442,0.0,1.0,verified_osl96k_qwen8_pard2_k5
live_log,2102328,Qwen/Qwen3-8B,baseline,n2 ISL4096/OSL65536 BS1,1,,,,,37.4,37.4,1.0,,,full_osl64k_qwen8_baseline
live_log,2102329,Qwen/Qwen3-8B,suffix K32,n2 ISL4096/OSL65536 BS1,1,,,,,118.9,36.9,3.2222222222222223,100.0,13.0,full_osl64k_qwen8_suffix_k32
live_log,2102330,Qwen/Qwen3-8B,PARD-2 draft K5,n2 ISL4096/OSL65536 BS1,1,,,,,9.0,36.9,0.24390243902439027,0.0,1.0,full_osl64k_qwen8_pard2_k5
live_log,2102331,Qwen/Qwen3-8B,Eagle-3 K3,n2 ISL4096/OSL65536 BS1,1,,,,,9.2,36.9,0.24932249322493225,0.0,1.0,full_osl64k_qwen8_eagle3_k3
live_log,2102313,Qwen/Qwen3-8B,baseline,n4 ISL4096/OSL16384 BS1 2,1 2,,,,,74.5,74.5,1.0,,,full_osl16k_qwen8_baseline
live_log,2102314,Qwen/Qwen3-8B,suffix K32,n4 ISL4096/OSL16384 BS1 2,1 2,,,,,462.3,75.3,6.139442231075698,100.0,12.97,full_osl16k_qwen8_suffix_k32
live_log,2102316,Qwen/Qwen3-8B,PARD-2 draft K5,n4 ISL4096/OSL16384 BS1 2,1 2,,,,,18.4,75.3,0.2443559096945551,1.0,1.05,full_osl16k_qwen8_pard2_k5
live_log,2102317,Qwen/Qwen3-8B,Eagle-3 K3,n4 ISL4096/OSL16384 BS1 2,1 2,,,,,100.9,75.3,1.3399734395750333,61.4,2.84,full_osl16k_qwen8_eagle3_k3
live_log,2100977,Qwen/Qwen3-8B,PARD-2 draft K5,n4 ISL4096/OSL32768 BS1 2 4,,,,,,50.2,153.1,0.32789026779882435,1.2,1.06,qwen8_pard2_k5
