model,bench,variant,k,sample_method,tp,tag,step,finished_s,output_tokens
Nemotron3-Ultra-550B (NVFP4),swe_verified,fixed_k3,3,greedy,4,nemotron3_ultra_swe_verified_rollout_fixed_k3_20260713,1,37.29511076500057,131072
Nemotron3-Ultra-550B (NVFP4),swe_verified,fixed_k3,3,greedy,4,nemotron3_ultra_swe_verified_rollout_fixed_k3_20260713,2,70.23425442999724,108580
Nemotron3-Ultra-550B (NVFP4),swe_verified,fixed_k3,3,greedy,4,nemotron3_ultra_swe_verified_rollout_fixed_k3_20260713,2,40.25235619700106,131072
Nemotron3-Ultra-550B (NVFP4),swe_verified,fixed_k3,3,greedy,4,nemotron3_ultra_swe_verified_rollout_fixed_k3_20260713,3,34.772912104999705,96471
Nemotron3-Ultra-550B (NVFP4),swe_verified,fixed_k3,3,greedy,4,nemotron3_ultra_swe_verified_rollout_fixed_k3_20260713,3,35.377116708994436,131072
Qwen3-235B-A22B,dapo,baseline,0,-,4,qwen3_235b_dapo_rollout_baseline_20260712,0,155.15517233707942,262144
Qwen3-235B-A22B,dapo,baseline,0,-,4,qwen3_235b_dapo_rollout_baseline_20260712,0,155.15517233707942,262144
Qwen3-235B-A22B,dapo,baseline,0,-,4,qwen3_235b_dapo_rollout_baseline_20260712,1,159.49337835097685,259246
Qwen3-235B-A22B,dapo,baseline,0,-,4,qwen3_235b_dapo_rollout_baseline_20260712,1,159.49337835097685,243859
Qwen3-235B-A22B,dapo,baseline,0,-,4,qwen3_235b_dapo_rollout_baseline_20260712,2,158.06278705503792,179316
Qwen3-235B-A22B,dapo,baseline,0,-,4,qwen3_235b_dapo_rollout_baseline_20260712,2,158.06278705503792,262144
Qwen3-235B-A22B,dapo,baseline,0,-,4,qwen3_235b_dapo_rollout_baseline_20260712,3,158.89005005802028,213118
Qwen3-235B-A22B,dapo,baseline,0,-,4,qwen3_235b_dapo_rollout_baseline_20260712,3,158.89005005802028,262144
Qwen3-235B-A22B,dapo,dynamic,5,greedy,4,qwen3_235b_dapo_rollout_dynamic_20260712,0,163.4965448579751,262144
Qwen3-235B-A22B,dapo,dynamic,5,greedy,4,qwen3_235b_dapo_rollout_dynamic_20260712,0,163.4965448579751,262144
Qwen3-235B-A22B,dapo,dynamic,5,greedy,4,qwen3_235b_dapo_rollout_dynamic_20260712,1,285.7398550759535,260569
Qwen3-235B-A22B,dapo,dynamic,5,greedy,4,qwen3_235b_dapo_rollout_dynamic_20260712,1,286.96793298679404,242340
Qwen3-235B-A22B,dapo,dynamic,5,greedy,4,qwen3_235b_dapo_rollout_dynamic_20260712,2,368.81086185993627,183173
Qwen3-235B-A22B,dapo,dynamic,5,greedy,4,qwen3_235b_dapo_rollout_dynamic_20260712,2,377.7814412978478,262144
Qwen3-235B-A22B,dapo,dynamic,5,greedy,4,qwen3_235b_dapo_rollout_dynamic_20260712,3,349.0105799390003,221271
Qwen3-235B-A22B,dapo,dynamic,5,greedy,4,qwen3_235b_dapo_rollout_dynamic_20260712,3,359.0629343078472,262144
Qwen3-235B-A22B,dapo,fixed_k3,3,greedy,4,qwen3_235b_dapo_rollout_fixed_k3_20260712,0,425.33829008298926,262144
Qwen3-235B-A22B,dapo,fixed_k3,3,greedy,4,qwen3_235b_dapo_rollout_fixed_k3_20260712,0,426.4430252179736,262144
Qwen3-235B-A22B,dapo,fixed_k3,3,greedy,4,qwen3_235b_dapo_rollout_fixed_k3_20260712,1,425.72338806599146,258015
Qwen3-235B-A22B,dapo,fixed_k3,3,greedy,4,qwen3_235b_dapo_rollout_fixed_k3_20260712,1,430.89733635197626,245011
Qwen3-235B-A22B,dapo,fixed_k3,3,greedy,4,qwen3_235b_dapo_rollout_fixed_k3_20260712,2,375.6401803769986,192530
Qwen3-235B-A22B,dapo,fixed_k3,3,greedy,4,qwen3_235b_dapo_rollout_fixed_k3_20260712,2,381.01157873601187,262144
Qwen3-235B-A22B,dapo,fixed_k3,3,greedy,4,qwen3_235b_dapo_rollout_fixed_k3_20260712,3,431.7592297310475,222449
Qwen3-235B-A22B,dapo,fixed_k3,3,greedy,4,qwen3_235b_dapo_rollout_fixed_k3_20260712,3,493.50459493801463,262144
Qwen3-235B-A22B,math500,baseline,0,-,4,qwen3_235b_math500_rollout_baseline_20260712,0,56.92526320298202,60661
Qwen3-235B-A22B,math500,baseline,0,-,4,qwen3_235b_math500_rollout_baseline_20260712,0,138.09523000195622,220043
